Feature,Importance
geo_level_1_id,0.15668874077871556
geo_level_3_id,0.11416133207101745
geo_level_2_id,0.11380276786921628
age,0.08416003198106596
area_percentage,0.07504313242122458
has_superstructure_mud_mortar_stone,0.05295472961350591
height_percentage,0.04871203685977401
foundation_type,0.04688903477744124
roof_type,0.03757093454412677
ground_floor_type,0.036375625394771266
other_floor_type,0.02502821474581156
count_floors_pre_eq,0.02317176118168727
has_superstructure_cement_mortar_brick,0.01968592752210799
land_surface_condition,0.018016701351116195
count_families,0.01793785433879003
position,0.016869893690267784
has_superstructure_timber,0.015398284910682953
has_superstructure_adobe_mud,0.011844745428842165
has_superstructure_mud_mortar_brick,0.011044369454900591
has_superstructure_bamboo,0.009490419403809291
has_superstructure_rc_non_engineered,0.008313082729313083
legal_ownership_status,0.007845290081431559
has_superstructure_stone_flag,0.007845190158081307
plan_configuration,0.007671688885344747
has_secondary_use,0.007333402377265893
has_secondary_use_agriculture,0.005417424731506895
has_superstructure_rc_engineered,0.004582757475201437
has_superstructure_cement_mortar_stone,0.004442268116568201
has_superstructure_other,0.0042024344208620975
has_secondary_use_hotel,0.004075179089987366
has_secondary_use_rental,0.0014419130134482087
has_secondary_use_other,0.0011922497613950944
has_secondary_use_industry,0.0003669157848637424
has_secondary_use_institution,0.0001704379591805065
has_secondary_use_health_post,0.00012801418944710047
has_secondary_use_school,8.664408514505975e-05
has_secondary_use_gov_office,2.7147926030602856e-05
has_secondary_use_use_police,1.142087605227585e-05
